capital,num_workers,productivity,price,inventory,budget,mean_historic_sales,std_historic_sales,avg_wage,avg_capital_price,avg_consumption_good_price,market_demand,actual_demand,sales,firm_id
20.0,1.0,1.0,0.95,3.24,18.258000000000003,4.166666666666667,1.863389981249825,1.0,0.0,0.9499999999999996,0.0,0.0,0.0,30
20.0,1.0,1.0,0.9025,4.835210447008422,17.4653358412861,3.5714285714285716,2.2587697572631282,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.8573749999999999,6.127330909085243,16.44524472753504,3.125,2.4206145913796355,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.8145062499999999,7.17394848336747,15.27065537406392,2.7777777777777777,2.4845199749997664,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.7737809374999999,8.021708718536072,13.996661087200197,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.7350918906249998,8.708394509022641,12.66468209305925,2.0,2.449489742783178,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.6983372960937497,9.264609999316763,11.305665886188446,1.5,2.29128784747792,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.6634204312890623,9.715144546455,9.942547462665987,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.6302494097246091,10.080077529636972,8.592140156046845,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.5987369392383786,10.375673246014369,7.2665884378707375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.5688000922764596,10.61510577628006,5.974483759788178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.5403600876626365,10.809046125795271,4.721721210604907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.5133420832795047,10.966137808902593,3.5121568295795744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.48767497911552943,11.093382072219523,2.348111618923216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.46329123015975293,11.196449925506235,1.2307576808386518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.44012666865176525,11.279934886668471,-1.839586265577692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.41812033521917696,11.358611757444926,-2.863742565966332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.3972143184582181,11.422340022773856,-3.8427933334581947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.37735360253530714,11.473959917690289,-4.777587268668848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.35848592240854177,11.515772032572597,-5.669254852957826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.34056162628811465,11.549639845627267,-6.5191195276553575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.3235335449737089,11.57707277420155,-7.328630539992912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.30735686772502346,11.599293446346719,-8.099312401886573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.2919890243387723,11.617292190784307,-8.832727075618665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.27738957312183365,11.631871173778753,-9.530445899010182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.263520094465742,11.643680150004254,-10.194028953966892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.25034408974245487,11.653245420746911,-10.825010114095173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.2378268852553321,11.660993290048461,-11.424886416186022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.2259355409925655,11.667269064182717,-11.99511071504846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.2146387639429372,11.672352441231466,-12.53708682320646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.20390682574579033,11.67646997664095,-13.052166523108227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.1937114844585008,11.679805180322633,-13.541647982623113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.18402591023557577,11.682506695304795,-14.006775214638271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.17482461472379698,11.684694922440347,-14.448738306146465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.16608338398760714,11.686467386420146,-14.868674207210923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.15777921478822676,11.687903082243784,-15.267667920121482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.14989025404881542,11.689065995860927,-15.646753967395544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.14239574134637464,11.690007955890815,-16.00691804670285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.1352759542790559,11.690770943515025,-16.349098803363244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.1285121565651031,11.691388963490635,-16.674189668365162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.12208654873684793,11.69188955967088,-16.983040723098306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.11598222130000553,11.692295042576877,-17.276460562123912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.11018311023500525,11.692623483730735,-17.555218133042146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.10467395472325498,11.692889521065357,-17.820044538412358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.09944025698709223,11.693105011306404,-18.071634789165934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.09446824413773762,11.693279558401652,-18.310649502350948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.08974483193085074,11.693420941548803,-18.53771653861545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.0852575903343082,11.693535461897994,-18.75343257676618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.08099471081759278,11.693628223380838,-18.958364624181108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.005,0.07694497527671314,11.693703360181942,-19.153051462921937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.07309772651287748,11.693764220990838,-21.338005032175296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.0694428401872336,11.70492284074226,-23.513797466316674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.0659706981778719,11.71396132274091,-23.68094402015001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.0626721632689783,11.721282493159817,-23.839843855298227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.059538555105529384,11.727212641199133,-23.99088381231957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.05656162735025291,11.73201606111098,-24.13443726642855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.053733545982740265,11.735906831239575,-24.27086344618741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.05104686868360325,11.739058355043737,-24.400507098492753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.04849452524942309,11.741611089325108,-24.52369841057357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0100249999999997,0.04606979898695193,11.743678804093019,-24.640753120770018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.04376630903760433,11.745353653055027,-26.751972766038936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.041577993585724116,11.75787514982295,-26.857696605763724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.03949909390643791,11.76801756220497,-26.958230828273404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.03752413921111601,11.776232916234404,-27.053812653943986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.03564793225056021,11.782887352998246,-27.14467257317441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.0338655356380322,11.78827744677696,-27.231033500180292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.032172258856130585,11.792643422737717,-27.313110241711485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.030563645913324056,11.79617986326593,-27.39110920210989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.029035463617657853,11.799044380093783,-27.465228264537117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.027583690436774957,11.801364638724342,-27.535656802355483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.02620450591493621,11.803244048215095,-27.6025757855233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.0248942806191894,11.804766369902605,-27.666157955221692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.023649566588229927,11.80599945046949,-27.726568046347822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.022467088258818428,11.806998245728666,-27.78396304243544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.021343733845877507,11.807807269888597,-27.838492451342614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.02027654715358363,11.808462579458144,-27.89029859294355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.019262719795904448,11.808993380209476,-27.939516892279997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0150751249999996,0.018299583806109226,11.809423328818054,-27.986276173325187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.017384604615803764,11.809771587191003,-30.03069894980997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.016515374385013576,11.821274369927334,-30.072922300988743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.015689605665762895,11.830591623943763,-30.113069724556183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.01490512538247475,11.838138599697068,-30.15123689408493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.014159869113351011,11.844251650057247,-30.187516571776225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.01345187565768346,11.849203220848992,-30.22199832246165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.012779281874799287,11.853213993190305,-30.254768341380966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.012140317781059323,11.856462718786767,-30.285909367117913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.011533301892006355,11.859094186519904,-30.3155006577921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.010956636797406038,11.861225675383743,-30.343618013767014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.010408804957535735,11.862952181363452,-30.37033383410078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.009888364709658948,11.864350651207017,-30.395717197013134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.009393946474176,11.865483411780305,-30.41983395698143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.0089242491504672,11.866400947844669,-30.442746852873913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.008478036692943839,11.867144152056804,-30.464515622905214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.008054134858296647,11.867746147468633,-30.485197123254235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.0076514281153818135,11.868233763752215,-30.504845447992242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0201505006249996,0.0072688567096127225,11.868628732941914,-30.523512048586603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0252512531281244,0.006905413874132086,11.868948657985571,-32.54124585171701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0252512531281244,0.006560143180425482,11.880484594192446,-32.55810159421162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0252512531281244,0.0062321360214042075,11.889828702520015,-32.57412858773795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0252512531281244,0.005920529220333997,11.897397430265347,-32.58936503394935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
20.0,1.0,1.0,0.95,3.24,18.258000000000003,4.166666666666667,1.863389981249825,1.0,0.0,0.9499999999999996,0.0,0.0,0.0,31
20.0,1.0,1.0,0.9025,4.835210447008422,17.4653358412861,3.5714285714285716,2.2587697572631282,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.8573749999999999,6.127330909085243,16.44524472753504,3.125,2.4206145913796355,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.8145062499999999,7.17394848336747,15.27065537406392,2.7777777777777777,2.4845199749997664,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.7737809374999999,8.021708718536072,13.996661087200197,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.7350918906249998,8.708394509022641,12.66468209305925,2.0,2.449489742783178,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.6983372960937497,9.264609999316763,11.305665886188446,1.5,2.29128784747792,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.6634204312890623,9.715144546455,9.942547462665987,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.6302494097246091,10.080077529636972,6.592140156046845,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.5987369392383786,10.375673246014369,5.2665884378707375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.5688000922764596,10.61510577628006,3.974483759788178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.0,0.5403600876626365,10.809046125795271,2.721721210604906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.5133420832795047,10.966137808902593,-0.4878431704204268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.48767497911552943,11.104436124454566,-1.6524873571537704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.46329123015975293,11.216457760051664,-2.771410313071997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.44012666865176525,11.307195284885312,-3.8440143191666456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.41812033521917696,11.380692680000566,-4.870396253796272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.3972143184582181,11.440225570043921,-5.8511596468365745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.37735360253530714,11.488447210979041,-6.787271447406752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.35848592240854177,11.527506740136488,-7.679953129089885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.34056162628811465,11.559144958754018,-8.530598151732216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.3235335449737089,11.584771915834219,-9.340709641813294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.30735686772502346,11.605529751069183,-10.111853571330599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.2919890243387723,11.6223435976095,-10.845623806099082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.27738957312183365,11.635962813307161,-11.543616233708104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.263520094465742,11.646994378022264,-12.207409827110183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.25034408974245487,11.655929945441496,-12.838552996572174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.2378268852553321,11.663167755051077,-13.438553964845314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.2259355409925655,11.669030380834839,-14.008874194335025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.2146387639429372,11.673779107719682,-14.550924121110713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.20390682574579033,11.677625576496405,-15.06606062443879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.1937114844585008,11.680741216205552,-15.555585794190222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.18402591023557577,11.683264884369962,-16.0207466612324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.17482461472379698,11.685309055583133,-16.46273563489389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.16608338398760714,11.686964834265801,-16.882691452275306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.15777921478822676,11.688306014998762,-17.281700490791767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.14989025404881542,11.689392371392463,-19.66079833111957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.14239574134637464,11.690272320071358,-20.02097148518173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.1352759542790559,11.690985078501264,-20.36315922486598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.1285121565651031,11.691562412829487,-20.688255463304763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
20.0,1.0,1.005,0.12208654873684793,11.69203005363535,-20.997110652897568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31
